3356;0.14365584054
64628;7.05675127179e-05;PacketExchange
64629;4.71014572494e-07;TLLIX
64767;1.74819217435e-05;TP-IX
64631;0.000229250246712;MSK-IX
64632;3.27338479736e-05;DIX-IE
64633;5.71313450315e-05;NIX CZ
64947;1.65214767291e-06;Equinix Vienna, VA
64635;6.17471476777e-07;NSK-IX
64636;2.89662353288e-05;Equinix Hong Kong
64558;9.71097226214e-05;NetNod Stockholm
64651;6.37676489209e-07;RBIEX
64639;0.000257074344225;Equinix Sydney
64518;7.94304962094e-06;Telx Phoenix
64641;4.97979239055e-05;TOP-IX
64642;4.10333144853e-05;FICIX
64535;5.4389654464e-05;MerieX
64977;0.0;SOX d.o.o. Serbia
64605;1.45780610561e-09;PHX-IX
64645;6.27353411965e-08;NAP Colombia - CCIT
64772;0.0;CePIX.pl
64646;5.4741904475e-05;iAIX
64647;0.0;PTTMETRO Florianopolis
64950;7.41998977947e-06;SMILE-LV
64988;1.16001002537e-08;UTOPIA
64943;6.15985617176e-06;COPHIX
64649;0.0;EMIX
64577;5.96498526219e-08;YRIX
64587;1.77138461556e-06;N-IX
64652;4.84675757947e-09;OCIX Duesseldorf
64775;3.39721943539e-06;Balcan-IX
64653;1.51730187815e-05;NaMeX
64895;0.00010739563577;SOL-IX / SOLIX
64654;1.90304251622e-06;JPNAP Osaka
64722;1.72033220065e-05;ECIX Berlin
65119;0.0;PTTMETRO Londrina
64539;9.31035832152e-10;GEIX
64780;0.0;Litix
64655;0.0039630789463;AMS-IX
64845;5.3988391315e-05;TIX - Tanzania
64719;0.000339076848569;Equinix Paris
64730;3.12976351951e-07;BBIX
64601;7.37166165438e-07;PIX - Poznan
64839;1.25374707992e-05;NASA-AIX
64697;1.80377545722e-06;IIX
64659;1.81216770216e-07;TOUIX
65120;0.0;PTTMETRO Botafogo
64994;0.0;Od-IX
64661;2.83077612964e-08;GIX Gothenburg
64962;3.25430730484e-09;EPIX
64663;0.000386956040286;NL-IX
