701;0.109297102313
6461;0.0229222361164
174;0.120216788878
209;0.0562331780179
1239;0.0785195594728
1299;0.0399884553082
2828;0.0249657057792
2914;0.0371332107523
3356;0.1348244384
3549;0.0734357148178
3561;0.0145230958532
6453;0.0297770574721
7018;0.08256677684
8075;0.000967414433223
64512;3.8364290719e-07;SFIX
64513;0.0;PIX Montreal
64514;2.75182344021e-06;TIX
64515;0.000625426333921;Equinix Ashburn
64516;2.98734294162e-05;ESPANIX
64517;0.000364177167224;SIX
64518;1.1999145832e-06;Telx Phoenix
64519;2.35406344097e-07;TIX-LAN
64520;1.06319526835e-06;PTTMETRO Rio de Janeiro
64521;0.000765686679658;Equinix Singapore
64522;8.18773138709e-07;eXpress
64523;0.0;OCIX
64524;1.41443378287e-05;BiX
64525;7.79027429584e-06;JPNAP Tokyo
64526;5.9235688031e-07;Netnod Malmö
64527;3.19800061264e-07;LIX
64528;2.26225909149e-07;Netnod Lulea
64529;6.38028555186e-05;INXS
64530;0.000188096255623;PIPE Networks Sydney
64531;9.21040381908e-08;RIX
64532;0.000168101276408;KleyReX
64533;0.0;NIXI Mumbai
64534;7.27288113774e-08;MalmIX Malmo
64535;6.53435783364e-05;MerieX
64536;9.00931178248e-06;WORKIX Hamburg
64537;0.0;NSPIXP3
64538;8.6783067274e-05;JPIX
64539;7.40858942801e-09;GEIX
64540;0.0;NWIX Missoula
64541;0.00013967181276;PTTMETRO São Paulo
64542;0.000268036966565;LINX Extreme LAN
64543;1.29659276914e-08;PIX Toronto
64544;0.0;SISPA
64545;3.83817595118e-07;QiX 3
64546;6.52936991382e-05;Netnod Gothenburg
64547;2.29101028459e-07;SD-NAP
64548;2.16756898303e-08;BAYANTEL
64549;1.8206010493e-05;Equinix Newark
64550;0.000147687143372;GigaPix
64551;1.14951913309e-05;MAE West
64552;1.61398615073e-07;UK6X
64553;9.29490431383e-05;FreeIX
64554;0.0;PTTMETRO Brasilia
64555;9.79169741611e-06;PacificWave
64556;0.000102332137148;XchangePoint
64557;0.0;EuskoNIX
64558;8.22019263225e-05;NetNod Stockholm
64559;4.55127052271e-05;Equinix Dallas
64560;1.20035010802e-07;ENLIX
64561;2.25899494993e-05;NIX
64562;0.000200710511621;PaNAP
64563;0.000114804019013;VIX
64564;1.18558431407e-06;APE
64565;0.0;DRF IX
64566;2.90419774463e-09;Norrnod
64567;2.20192663093e-10;R_ix
64568;1.34931579416e-07;ALP-IX
64569;0.0;ExWest
64570;2.29309323071e-06;INTERLAN
64571;6.28832441176e-07;NY6IX
64572;6.79019564267e-05;NYCX
64573;0.000147534327083;PARIX
64574;2.52449970386e-06;PAIX Virginia
64575;0.0;CoreSite - Any2 Miami
