3561;0.00861957338219
701;0.0525948736311
3257;0.0290077568894
6461;0.0209189728014
6762;0.0126117008289
7018;0.0709778926953
174;0.12124796632
209;0.0442048213521
1239;0.0340887677217
1299;0.0306567100891
1668;0.000327785409123
2828;0.0258501346062
2914;0.0262001846021
3320;0.0142139655379
3356;0.140099093665
3549;0.075532946396
5511;0.00477237893643
6453;0.0172370661827
64512;0.0;SFIX
64513;0.0;PIX Montreal
64854;3.19634485479e-08;CoreSite - Any2 Boston
64515;0.00112802643438;Equinix Ashburn
64889;4.09719988859e-09;Content-IX
64516;9.76527727392e-05;ESPANIX
64852;1.0363978566e-07;SMR-IX
64517;0.000767699734582;SIX
64811;6.41790342514e-06;JXIX
64519;1.99335387402e-08;TIX-LAN
64913;0.00247072107909;LINX Juniper LAN
64597;3.09392980348e-06;TWIX
64914;8.39034393149e-05;France-IX
64812;1.1727854422e-08;MIX
64521;0.000459381404621;Equinix Singapore
64522;2.1333541334e-07;eXpress
64523;5.35723523468e-08;OCIX
64524;1.05808241787e-05;BiX
64910;0.0;GigaPix OPorto
64514;8.60802303534e-07;TIX
64525;0.000146811970812;JPNAP Tokyo
64526;1.54394046948e-06;Netnod Malmö
64527;2.75763988556e-08;LIX
64840;1.9128433273e-07;AZIX
64839;1.39049880017e-05;NASA-AIX
64909;8.69610152874e-06;Equinix Seattle
64565;5.18413739167e-05;DRF IX
64529;1.46806507378e-05;INXS
64530;4.10204473133e-05;PIPE Networks Sydney
64531;1.7782346899e-06;RIX
64532;0.000142781934783;KleyReX
64533;1.68506514721e-06;NIXI Mumbai
64822;1.7408200002e-10;JPIX OSAKA
64677;1.59950253538e-05;BigApe
64700;0.0;NWIX Helena
64735;0.0;PIPE Networks Hobart
64739;2.68313940873e-05;NWAX
64856;6.51678103041e-05;Fixo
64857;8.81910753709e-08;AAIX
64988;1.4262629496e-08;UTOPIA
64878;2.07577482636e-07;BNIIX
64537;3.83902383772e-08;NSPIXP3
64538;8.32456877877e-05;JPIX
64539;8.62375446252e-10;GEIX
64816;8.54951813081e-09;BIXc
64540;0.0;NWIX Missoula
64860;1.36338400834e-07;PIRIX
65110;0.0;GIX Gdansk
64629;1.27148750321e-07;TLLIX
64924;1.077519604e-06;NAP Chile
64670;0.000265630536347;Equinix Los Angeles
64748;0.0;Angola-IXP / ANG-IXP
64590;7.76512449602e-05;Equinix Tokyo
64543;6.65114195669e-08;PIX Toronto
