64620;3.59296222228e-05;UA-IX
64621;1.35650168604e-07;Manila IX
64903;1.45770956211e-07;LINX Route-Server RS1
64622;1.56934433749e-05;GN-IX
64623;8.34825870674e-06;PIPE Networks Melbourne
64944;5.9549301635e-05;INEX LAN1
64626;5.29912566622e-06;TransACT IX
64749;4.44209609404e-06;Equinix Atlanta
64627;0.000142759065486;SwissIX
64628;6.4054880519e-05;PacketExchange
65134;7.09916590631e-07;PTTMETRO Salvador
64767;0.0;TP-IX
65135;0.0;YYCIX Calgary Internet Exchange
64631;0.000349703414859;MSK-IX
64632;2.53062379369e-05;DIX-IE
64584;2.31895297277e-07;Telx Dallas
64633;6.18429094148e-05;NIX CZ
64834;2.97897617431e-05;WIX-NZ
64635;1.62478104505e-06;NSK-IX
64636;1.3129001342e-05;Equinix Hong Kong
64518;6.24310192089e-06;Telx Phoenix
64929;4.14960277944e-07;B-IX
64980;6.50687402675e-07;ISTIX / IST-IX
64639;0.000243252323486;Equinix Sydney
64640;1.52396501075e-07;FNIX6
64641;2.20327282299e-05;TOP-IX
64642;9.48679228898e-06;FICIX
64535;4.59167951824e-05;MerieX
64644;0.000229083073656;HKIX
65117;3.5564674002e-06;VIC-IX
64772;0.0;CePIX.pl
64672;8.61130155514e-06;npIX
64647;3.97052750411e-06;PTTMETRO Florianopolis
64950;4.92183635447e-05;SMILE-LV
64648;6.68669355762e-08;VSIX
64649;1.29319424974e-09;EMIX
64577;4.84691477686e-08;YRIX
64651;1.036968465e-07;RBIEX
64773;0.0;NIXI Hyderabad
64652;2.72331909757e-09;OCIX Duesseldorf
64775;5.03612135972e-06;Balcan-IX
64763;3.73626834697e-08;LINX Route-Server RS4
64837;1.23633856231e-05;GR-IX
64919;3.78993403084e-09;QIX
64895;3.36247010938e-05;SOL-IX / SOLIX
64654;1.86144484895e-06;JPNAP Osaka
64660;1.81258166463e-05;RoNIX
64955;0.0;CoreSite - Any2 New York
64777;0.0;PacificIX
65136;0.0;PTTMETRO Sao Jose dos Campos
64957;0.0;Echigo-IX
64746;0.0;GU-IX
64780;8.09589598755e-08;Litix
64655;0.00310250241541;AMS-IX
64838;0.0;BIX NO
64993;2.39702338839e-08;NAP Africa Cape Town
64730;3.81368998713e-07;BBIX
64960;2.36458497959e-06;Boston Internet Exchange
64658;3.06240987258e-05;Terremark - NAP do Brasil
64697;6.41563899004e-05;IIX
64659;4.58381545662e-05;TOUIX
65120;9.65286448069e-08;PTTMETRO Botafogo
64994;1.48468448699e-07;Od-IX
64859;1.63517677038e-08;UAE-IX
64661;2.92492670676e-08;GIX Gothenburg
64962;1.35940830993e-07;EPIX
64663;0.000355096204529;NL-IX
64664;4.88233724353e-06;MINAP Milan
64964;0.0;MIX NDC
65137;1.63788064631e-07;QLD-IX
65121;0.000406673844967;CoreSite - Any2 Los Angeles
64784;1.86832304991e-06;DE-CIX Hamburg
64572;4.73150055288e-05;NYCX
64783;0.000221787588034;Equinix New York
64665;5.4517391076e-05;BNIX
64722;8.19925637437e-06;ECIX Berlin
64666;9.73201183346e-05;STHIX
64667;2.76673256477e-06;XchangePoint London
64668;3.35740568699e-06;KIXP
64653;2.36714378484e-06;NaMeX
64841;1.36872335771e-07;FR-IX
64888;5.48897992876e-05;KCIX Kansas City
64900;4.5816120518e-09;UIXP
64609;3.90922683804e-06;CATNIX
64901;4.41416210537e-08;LINX Route-Server RS2
64902;1.31081268066e-07;LINX Route-Server RS3
64673;4.77792213424e-08;PTTMETRO Belo Horizonte
64674;1.88084296683e-05;WIX
64634;5.01123568144e-10;Terremark NAP de las Madrid
64769;8.42179599574e-08;CHIX-NZ
64771;4.62386748167e-06;SGIX
64679;3.81227319948e-08;JPNAP Tokyo 2
64680;1.09099078703e-06;CIIX (formerly LAAP)
64968;2.67310195209e-09;MKE-IX
64681;1.42129779927e-06;CoreSite - Any2 Chicago
64845;1.70620836291e-05;TIX - Tanzania
64805;1.14812291568e-05;SUPRnet
64755;2.92671625396e-07;LIPTAM
64791;9.04030636634e-07;RTIX
64683;9.59041602883e-05;DIX
65138;0.0;PTTMETRO Caxias do Sul
64684;2.18282889477e-08;MAE East
64969;2.88551146095e-08;VLV-IX
64686;3.14870365653e-05;CIX
64989;2.27892792252e-06;dataix
64687;1.50265716923e-06;PTTMETRO Curitiba
64688;0.000273515370103;Equinix Chicago
64714;0.0;Ottawa GigaPOP
64691;1.83539301486e-07;NIX2
64692;1.45856132434e-06;NIXI Chennai
64788;1.68231873056e-06;Equinix Toronto
64576;3.12067678445e-05;Equinix Zurich
64971;0.0;SainteTiX
64696;3.25981398056e-07;TREX
64972;0.00374041844824;DE-CIX Frankfurt
64520;4.02961165906e-07;PTTMETRO Rio de Janeiro
64990;8.42237096388e-10;France-IX Marseilles
64598;5.03103540476e-05;PIX Vancouver
65125;4.00785600511e-06;PTTMETRO Campinas
64874;6.60778811429e-05;OpenIXP / NiCE
64702;1.05924828575e-05;LU-CIX
64703;7.70479250267e-05;SOX
64704;2.19552967454e-06;Sitelix
64807;2.88551146095e-08;KZN-IX
64958;8.25437409302e-07;Rheintal IX
64801;7.26501346217e-06;LIX-LV
64733;0.000380737476313;NYIIX
64908;1.57315416693e-07;RND-IX
65126;4.33316909388e-06;CoreSite - Any2 DC
64708;0.0;CNC Beijing NAP
64846;1.02038150349e-07;ULN-IX
64710;3.69779234821e-07;Pouix
64607;3.732687152e-05;SPB-IX
64712;0.000173774169453;Telx Atlanta
64713;0.000156160129089;LONAP
64804;0.0;IIX JI
64715;0.000365186405665;Equinix San Jose
64716;3.22059108435e-06;SFMIX
65139;4.77196788453e-05;CoreSite - Any2 Denver / RMIX Denver
64977;4.96135274129e-08;SOX d.o.o. Serbia
64717;2.32094644309e-05;MadIX
64718;1.05403577404e-05;SIX.SK
64580;0.000173462673489;TorIX
64720;0.0;TaipeiGigaPoP
64546;2.66036745301e-06;Netnod Gothenburg
64608;0.000153546883804;MyIX
64751;0.0;MEIX
64724;4.68846612397e-05;FreeBIX
64725;0.0;ASIX6
64726;0.000218048290115;PLIX
64727;4.04657526672e-05;LAIIX
64646;4.47831232177e-07;iAIX
64728;1.59661344764e-05;JINX
64693;1.64033196488e-06;HIX
64625;1.45818544622e-06;PIPE Networks Adelaide
64657;2.97046974031e-05;WAIX
64806;5.60830234367e-10;TRDIX
64732;1.03022564679e-06;SIX SI
65119;9.47844959755e-07;PTTMETRO Londrina
64734;7.79661574579e-10;TampaIX
64945;1.04916123771e-06;INEX LAN2
64736;1.21859799586e-05;CABASE
64815;0.0;LuIXP
64808;4.575507295e-05;REUNIX
64851;0.000548129807254;Equinix Palo Alto
64556;7.11784021302e-05;XchangePoint
