701;0.0704067483441
6461;0.0186986155063
174;0.121190675671
209;0.051623018872
1239;0.0568471368042
1299;0.0377333514972
1668;0.000659182177463
2828;0.0264431808507
2914;0.0351642037357
3356;0.147892363352
3549;0.0794104480217
3561;0.0111270737621
5511;0.00625392640649
6453;0.0262653462497
7018;0.0819234504507
64569;2.24982299743e-09;ExWest
64554;0.0;PTTMETRO Brasilia
64655;0.00261790963911;AMS-IX
64730;3.42488421176e-07;BBIX
64639;0.000238774350528;Equinix Sydney
64658;7.67613402429e-06;Terremark - NAP do Brasil
64659;2.9212769135e-09;TOUIX
65131;0.0;PTT-Metro de Londrina
64661;3.51957318061e-08;GIX Gothenburg
64662;0.00496037511596;DE-CIX
64663;0.000254216401299;NL-IX
64664;6.19772257325e-06;MINAP Milan
64600;5.92341461567e-05;CNIX
64572;6.26611428729e-05;NYCX
64755;0.0;LIPTAM
64665;4.5978832578e-05;BNIX
64666;6.62046566603e-05;STHIX
64667;3.21695297052e-07;XchangePoint London
64668;4.06855816745e-07;KIXP
65132;1.73297281886e-07;PAIX Toronto
64841;0.0;FR-IX
64669;3.12152963852e-06;PAIX Atlanta
64609;6.25136344692e-05;CATNIX
64671;0.000170444347727;PAIX New York
64673;0.0;PTTMETRO Belo Horizonte
64674;1.92052639379e-06;WIX
64634;5.83287443777e-10;Terremark NAP de las Madrid
64769;0.0;CHIX-NZ
64679;5.68705257683e-10;JPNAP Tokyo 2
64942;1.77190145971e-07;MalmIX Malmo / IXOR
64680;1.05598923843e-07;CIIX (formerly LAAP)
64681;2.01629854148e-06;CoreSite - Any2 Chicago
64685;0.0;Viettel
64683;0.000148012272503;DIX
64980;8.4686732601e-10;ISTIX / IST-IX
64684;3.03081892131e-06;MAE East
64969;0.0;VLV-IX
64686;8.43422489257e-06;CIX
64706;0.0;MA-IX
64688;0.000157574835679;Equinix Chicago
64714;0.0;Ottawa GigaPOP
64690;7.43378651632e-07;PAIX Dallas
64691;8.08814572451e-09;NIX2
64692;9.79380921827e-08;NIXI Chennai
64605;0.0;PHX-IX
64693;0.0;HIX
64576;6.08570636055e-05;Equinix Zurich
64971;0.0;SainteTiX
64696;0.0;TREX
64660;3.52435252033e-05;RoNIX
64520;4.76428982775e-07;PTTMETRO Rio de Janeiro
64598;0.000124278095469;PIX Vancouver
64699;0.0;IXTampa
64700;0.0;NWIX Helena
64701;5.91540961106e-05;DTEL-IX
64682;0.00277167637982;LINX Brocade LAN
64703;1.27211525205e-05;SOX
64704;3.28363745849e-08;Sitelix
64513;0.0;PIX Montreal
64807;2.14582351441e-08;KZN-IX
64705;6.20940068263e-08;CoreSite - Any2 Northern California
64801;0.0;LIX-LV
64687;1.1020673884e-07;PTTMETRO Curitiba
64908;3.1187384202e-07;RND-IX
64518;7.08193557854e-07;Telx Phoenix
64708;0.0;CNC Beijing NAP
64618;2.09315975069e-08;PIPE Networks Canberra
64846;0.0;ULN-IX
64710;2.08474732475e-06;Pouix
64607;3.68777889877e-05;SPB-IX
64712;9.66259186103e-05;Telx Atlanta
64713;0.000190260023037;LONAP
64715;0.000277147729657;Equinix San Jose
64528;1.05021250572e-07;Netnod Lulea
64716;1.09062341002e-06;SFMIX
64717;3.93206582383e-05;MadIX
64718;3.98161837923e-06;SIX.SK
64580;0.000200022810362;TorIX
64720;0.0;TaipeiGigaPoP
64546;7.66987284057e-07;Netnod Gothenburg
64722;3.35513282426e-05;ECIX Berlin
64723;0.0;QiX 2
64724;6.24831638872e-05;FreeBIX
64725;0.0;ASIX6
64726;2.4038061611e-05;PLIX
64727;2.20631196803e-05;LAIIX
64751;4.7402537766e-06;MEIX
64805;2.03423157274e-09;SUPRnet
64625;5.36962956065e-06;PIPE Networks Adelaide
64657;5.90325901003e-05;WAIX
64806;0.0;TRDIX
64732;2.32658459023e-06;SIX SI
64733;0.000444323194169;NYIIX
64734;0.0;TampaIX
64735;1.45701149876e-07;PIPE Networks Hobart
64736;1.44589824865e-06;CABASE
64737;0.0;PTT Botafogo
64728;5.83146137848e-06;JINX
64556;9.6797949057e-05;XchangePoint
64740;1.32271102983e-06;NICE
