701;0.025427658604
3257;0.0189981467232
6461;0.0251971369964
6762;0.0151468360811
174;0.113842244833
209;0.0430304821574
286;0.00253787705463
1239;0.0117066871157
1299;0.0312706576082
2828;0.0210378864219
2914;0.0261797740513
3320;0.00832867028615
3356;0.0876191722295
5511;0.00229375371842
6453;0.015280584141
7018;0.0509402239613
12956;0.00706438064918
64517;0.00117746972459;SIX
64741;2.40372410566e-08;PTT-CPV
64519;2.32330370188e-10;TIX-LAN
64742;3.60138475232e-06;TTIX
65010;4.56346019195e-06;MARTINIX
64743;7.08556548545e-06;PTT-BA
65011;8.66300129199e-07;IXP-HN
64744;8.02972719597e-06;Netnod COMIX
64745;2.20518808878e-08;EuroGIX
64746;0.0;GU-IX
64747;1.26537559598e-06;IX Australia SA
64670;0.000152999610924;Equinix Los Angeles
64750;7.04388591141e-08;GIX
64751;0.0;MEIX
65012;3.73343288374e-05;DE-CIX Palermo
64560;0.0;ENLIX
64567;3.66837426613e-11;R_ix
65013;1.65824531917e-08;CABASE-BHB
65014;5.04683046685e-05;INXS by ecix
64755;6.36213044239e-07;LIPTAM
65015;3.73379333747e-05;CHN-IX
64757;1.91060433619e-05;AMS-IX Caribbean
64771;1.93351219996e-05;SGIX
64758;0.0;Sibir-IX
64584;1.11060529013e-07;Telx Dallas
64760;1.6722879891e-09;UNY-IX
64596;2.94826701157e-07;S-IX
64597;1.43323268096e-05;TWIX
64761;4.73839424546e-08;PNIX
64587;4.22659476569e-06;N-IX
64644;0.000405959902084;HKIX
64636;4.14963903345e-05;Equinix Hong Kong
64675;0.000159903637105;MIX-IT
64610;5.14521936324e-07;Netnod Sundsvall
64615;0.0;MXP
64765;0.0;IX Brighton
64620;6.53316195817e-05;UA-IX
65016;6.42967651325e-07;SAIX
65017;2.68784111606e-09;CABASE-SFE
64766;1.94274110783e-05;OmahaIX
64767;0.0;TP-IX
64768;0.0;VRZ-IX
64518;4.13189701387e-06;Telx Phoenix
64769;5.64735786028e-06;CHIX-NZ
64770;2.97931296958e-06;NetIX
64640;7.72293809686e-08;FNIX6
65018;5.77740467717e-05;MegaIX Auckland
64642;7.00745007279e-05;FICIX
64645;7.32682958183e-08;NAP Colombia - CCIT
64772;0.0;CePIX.pl
64773;0.0;NIXI Hyderabad
65019;7.42283826182e-09;IIX-RI
64775;1.64030514183e-05;Balcan-IX
64776;9.43784488135e-05;IX Australia NSW
65020;8.25604332021e-05;MegaIX Sydney
65021;0.0;MULTIDATA-ID-AP
64777;2.85652438461e-07;PacificIX
64681;2.6930365684e-06;CoreSite - Any2 Chicago
64779;3.70533829065e-09;PTT-AME
64780;3.50664624846e-07;Litix
65022;4.77094438716e-05;SOLIX
65023;9.52672879324e-07;T-CIX
64781;3.78760980586e-07;PTT-PE
64782;3.21524238819e-05;YYCIX
64783;0.000243620280831;Equinix New York
64784;7.37030068455e-05;DE-CIX Hamburg
64786;3.45789708747e-08;CyrusOne IX Phoenix
64787;7.87461110056e-05;TPIX-TW
64788;7.14972082487e-06;Equinix Toronto
64789;1.15022389877e-08;WHK-IX
64790;1.13292695234e-06;PTT-SJP
64791;1.17036837261e-06;RTIX
64793;0.000116302957426;DATAIX
65024;9.87434624529e-09;MegaIX Los Angeles
64795;8.73610983504e-07;PTT-LDA
64796;6.83851546203e-06;BREM-IX
64693;2.68513048726e-07;HIX
64735;0.0;PIPE Networks Hobart
64797;1.91601220987e-07;CABASE-LPL
64798;3.66116737529e-09;PTT-CGB
64697;0.000106497781082;IIX
64598;4.62662464024e-05;PIX Vancouver
64794;6.79888271824e-06;PTT-SJC
64701;0.000154173176716;DTEL-IX
64799;3.10142332699e-05;WPGIX
64800;2.12600130882e-07;PTT-MGF
64801;4.06288130084e-06;LIX-LV
64802;3.21995991002e-06;VANIX
64803;9.5765758668e-05;IX Australia WA
64713;0.000208201689423;LONAP
64804;1.54584271506e-07;IIX JI
64716;1.9102113497e-06;SFMIX
64726;0.000221266547833;PLIX
64727;2.42416130763e-05;LAIIX
64805;4.76913786223e-08;SUPRnet
64806;2.32330370188e-10;TRDIX
64807;9.62316661295e-09;KZN-IX
64808;4.80037791212e-07;REUNIX
64728;3.90966958389e-05;JINX
64809;5.93212909897e-05;CoreSite - Any2 Denver
65025;1.60159891704e-05;Cymru BOGONS
64810;0.0046511743515;PTT-SP
64811;1.62667084942e-05;JXIX
64812;9.47411352091e-10;MIX
64521;0.000549228867528;Equinix Singapore
65026;1.9867028771e-05;ECIX-BER
64813;1.49753176453e-05;MICE
64527;1.75779233452e-09;LIX
65027;3.24140213467e-05;CABASE-NQN
64565;3.99464759423e-05;DRF IX
64530;0.000236257738861;PIPE Networks Sydney
64814;2.19085629982e-07;RED-IX
64648;1.28770411388e-07;VSIX
65028;1.03652007476e-06;Global-IX
64538;0.000208471363736;JPIX
64815;3.56337014592e-09;LuIXP
64816;2.66882007528e-07;BIXc
64817;3.83955129665e-09;PTT-CXJ
65029;5.54223220888e-05;DE-CIX Istanbul
65030;1.89203135981e-10;CODIX
64818;1.61320304065e-10;PTT-SCA
64543;4.90154771778e-08;PIX Toronto
64819;4.24857973699e-07;PTT-GYN
64820;0.000117186429392;Edge-IX
64821;3.73670662148e-05;TahoeIX
64546;1.21750065897e-06;Netnod Gothenburg
65031;1.45362511404e-08;CABASE-PMY
64535;3.73763551009e-05;MerieX
64822;6.87631621027e-06;JPIX OSAKA
64551;0.0;MAE West
64548;1.21626847777e-06;BAYANTEL
65032;0.0;Indiana IX
65033;3.2029899199e-10;MegaIX Seattle
65034;1.38392939255e-08;IX-Denver
64559;0.000316666489021;Equinix Dallas
64824;5.97986808868e-08;SNAP
64825;6.11112990048e-08;Crimea-IX
64564;0.000210174901106;APE
64826;8.14752668715e-09;STW-IX
65035;4.26227115801e-05;DET-IX
64572;7.4676367921e-05;NYCX
64827;5.64475950675e-06;LINX NoVA
64576;2.11322991439e-05;Equinix Zurich
64828;1.18339597063e-07;DINX
65036;1.28421990297e-05;MegaIX Brisbane
64830;3.36903491829e-06;EKT-IX
65037;0.0;Claro Puerto Rico
64585;3.07105151316e-07;CAIX
64590;4.53345956009e-05;Equinix Tokyo
64708;0.0;CNC Beijing NAP
64594;1.37093694707e-07;OttIX
64603;0.0;UppRIX
64831;0.000149056956552;Phoenix IX
64832;0.0;Equinix Miami
65038;3.2029899199e-10;MegaIX New York
65039;3.47817495852e-05;Cymru UTRS
65040;0.0;Palestine Internet Exchange Point - PIX
64833;1.03644620251e-08;C2IX
64631;0.000364918984696;MSK-IX
65041;6.08240506658e-07;Equinix Vienna (VA)
64633;0.000275182489247;NIX CZ
64834;0.000165562098407;WIX-NZ
65042;2.36174745952e-05;ESPANIX Lower LAN
64646;2.11319780633e-07;iAIX
64622;1.71159730952e-05;GN-IX
64835;3.81183509566e-05;AMS-IX NY
65043;6.16788724112e-09;BENIN-IX
64836;2.07823219743e-09;DO-IX
64651;0.0;RBIEX
64652;1.33053823941e-08;OCIX Duesseldorf
64837;4.77522032555e-05;GR-IX
65044;4.94008832041e-05;GE-CIX
65045;0.0;Kherson Traffic Exchange
64874;0.000235505264596;OpenIXP / NiCE
64655;0.00623471082084;AMS-IX
64838;0.0;BIX NO
64839;0.0;NASA-AIX
64840;2.33738569999e-07;AZIX
65046;1.39349366891e-05;ECIX-HAM
64753;4.1394939335e-09;MD-IX
64665;6.30974832811e-05;BNIX
64841;1.79638339315e-07;FR-IX
65047;0.000541450124497;CABASE-BUE
64842;1.9763207396e-06;Equinix Osaka
65048;5.40522101782e-10;MegaIX Dallas
65049;8.0711855299e-08;CRIX
64843;3.96437621336e-06;PTT-DF
64691;5.30004896392e-08;NIX2
65050;1.76473369128e-07;MegaIX Singapore
65051;4.56346019195e-06;Guyanix
65052;3.94528154439e-09;MegaIX Hong Kong
64844;0.0;OCIX Frankfurt
64845;2.39662105461e-05;TIX - Tanzania
64846;1.76629989532e-07;ULN-IX
64607;1.1579553647e-05;SPB-IX
64712;0.000183682730711;Telx Atlanta
64847;5.16934064871e-08;Lillix
64848;1.39180912433e-07;PTT-NAT
64849;3.93021762742e-06;CoreSite - Any2 NorthEast
64717;1.61914901887e-05;MadIX
65053;1.58272857142e-09;Tirol-IX
65054;0.0;SIX.SK Košice
64625;2.24250872692e-06;PIPE Networks Adelaide
64850;3.15723378831e-07;NAPAfrica IX Durban
65055;1.88107672114e-07;NIXVAL-IXP
64734;0.0;TampaIX
64851;0.000254623801377;Equinix Palo Alto
64732;9.19409178817e-07;SIX SI
64512;0.0;SFIX
65056;1.41531917263e-05;Angola-IXP / ANG-IX
65057;1.32295986381e-05;NAP.EC-UIO
65058;5.07800419987e-05;RINEX
64852;4.01129994479e-08;SMR-IX
64853;5.20280253837e-05;TPAIX
65059;0.0;KIVIX
64524;3.1081721201e-05;BiX
64854;4.57153775975e-08;CoreSite - Any2 Boston
64577;3.56601958341e-08;YRIX
65060;6.92484447033e-09;KOSIX
64855;0.000291981447673;NAPAfrica IX Johannesburg
64531;1.23689300637e-06;RIX
64532;0.000377328833671;KleyReX
64533;6.04229962789e-05;NIXI Mumbai
64857;9.61696869127e-09;AAIX
64859;0.000136988101129;UAE-IX
64860;8.62775655385e-07;PIRIX
64861;0.0;ARIU
65061;2.45543820525e-08;CABASE-MDQ
65062;3.2029899199e-10;MegaIX Chicago
65063;0.0;OndaNet LTDA
64862;1.69077615616e-07;DN-IX
64663;0.000630413050559;NL-IX
64863;7.86175759567e-10;COIX
64544;0.0;SISPA
64864;1.58462884476e-08;MOZIX
64865;1.42028347134e-07;GTIIX
64866;1.93222229414e-07;IX Leeds
64867;3.47742034258e-09;CyrusOne IX Dallas
64552;1.98651537993e-08;UK6X
64868;9.27687998762e-06;KIX
64555;1.44283467818e-06;PacificWave
64869;2.34622958124e-06;PTT-SC
64870;3.73419357213e-05;HIX Haiti
64561;2.08835206513e-05;NIX
64871;0.0;BR-IX
64602;4.44377092148e-10;OIX
64872;2.08340354289e-05;TPIX
64873;4.24386834471e-07;CyrusOne IX Houston
65064;0.0;RZ-IX
64881;3.92146226449e-05;PTT-RS
64660;1.15208745135e-05;RoNIX
64875;6.5620206516e-06;IXManchester
64573;4.57045845226e-05;PARIX
64876;4.92492406922e-09;MiamiIX
65065;0.0;M-IX
64575;1.15483273888e-06;CoreSite - Any2 Miami
64694;1.19068245986e-05;CIXP
65066;3.73381383986e-05;DE-CIX Marseille
64579;3.80951754756e-05;ChIX
64580;0.000212092847243;TorIX
64738;0.0;LGDACOM IX
64877;1.02790194582e-05;PTT-BEL
64878;3.41849416128e-07;BNIIX
65067;1.7349209344e-08;SFO-IX
64879;5.61205539199e-06;MCIX - Matrix Networks
64591;0.000360135142557;CoreSite - Any2 California
64880;4.23112119702e-05;IXPN Lagos
64778;5.50257284404e-06;PTT-PR
65068;1.20556903879e-05;ESPANIX Upper LAN
65069;0.0;ASSOCIO
64882;4.99869689557e-05;BCIX
64883;7.52449180565e-07;IIX_
64884;0.0;CyrusOne IX San Antonio
64885;1.35893868624e-09;CyIX
64886;5.86241709381e-05;PTT-RJ
64887;8.31393795828e-08;CBIX
