,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,all_reach_2006,all_reach_2007,all_reach_2008,all_reach_2009,all_reach_2010,all_reach_2011,all_reach_2012,all_reach_2013,all_reach_2014,all_reach_2015,all_reach_2016,t1_cc_reach_2006,t1_cc_reach_2007,t1_cc_reach_2008,t1_cc_reach_2009,t1_cc_reach_2010,t1_cc_reach_2011,t1_cc_reach_2012,t1_cc_reach_2013,t1_cc_reach_2014,t1_cc_reach_2015,t1_cc_reach_2016
16,1131059742.0,1130905691.0,1240880986.0,1412510713.0,1616168205.0,1904715051.0,1966735478.0,1949747064.0,1977160784.0,2130126040.0,2242211722.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
17,1131112704.0,1131229625.0,1241013836.0,1413165775.0,1616285361.0,1905778373.0,1967858168.0,1951347728.0,1978119662.0,2131270022.0,2243519280.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
18,1131163862.0,1131464933.0,1241115592.0,1413797277.0,1616400043.0,1906365065.0,1968586249.0,1952503098.0,1978886012.0,2132167850.0,2244620796.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
19,1131188166.0,1131662043.0,1241209934.0,1414380801.0,1616485715.0,1906697319.0,1969128667.0,1953657474.0,1979513558.0,2133010962.0,2245664964.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
20,1131209662.0,1131752145.0,1241286954.0,1414771763.0,1616563701.0,1907028903.0,1969657731.0,1954775150.0,1980130940.0,2133765428.0,2246578110.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
21,1131226548.0,1131836829.0,1241360408.0,1414935545.0,1616632813.0,1907323855.0,1970024705.0,1955556108.0,1980658252.0,2134422785.0,2247479834.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
22,1131242154.0,1131910775.0,1241385996.0,1415084955.0,1616701903.0,1907617297.0,1970351297.0,1956105908.0,1981153850.0,2135006049.0,2248217158.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
23,1131254438.0,1131969389.0,1241409026.0,1415217433.0,1616756419.0,1907899599.0,1970677567.0,1956651392.0,1981548588.0,2135558929.0,2248809928.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
24,1131263138.0,1132025693.0,1241430774.0,1415332115.0,1616805033.0,1908167489.0,1970982595.0,1957146984.0,1981852998.0,2136097919.0,2249364604.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
25,1131271328.0,1132074841.0,1241450468.0,1415426271.0,1616847499.0,1908366041.0,1971284589.0,1957517314.0,1982072280.0,2136630541.0,2249862240.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
26,1131279264.0,1132118853.0,1241469882.0,1415512773.0,1616874871.0,1908562611.0,1971584819.0,1957825374.0,1982262966.0,2137161937.0,2250231564.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
27,1131285394.0,1132153135.0,1241485230.0,1415598459.0,1616892767.0,1908677293.0,1971848691.0,1958114094.0,1982435744.0,2137526523.0,2250558218.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
28,1131290510.0,1132181801.0,1241498790.0,1415683183.0,1616910647.0,1908771221.0,1972097445.0,1958394270.0,1982597248.0,2137890441.0,2250871232.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
