,Africa/2006,Africa/2007,Africa/2008,Africa/2009,Africa/2010,Africa/2011,Africa/2012,Africa/2013,Africa/2014,Africa/2015,Africa/2016,Asia Pacific/2006,Asia Pacific/2007,Asia Pacific/2008,Asia Pacific/2009,Asia Pacific/2010,Asia Pacific/2011,Asia Pacific/2012,Asia Pacific/2013,Asia Pacific/2014,Asia Pacific/2015,Asia Pacific/2016,Australia/2006,Australia/2007,Australia/2008,Australia/2009,Australia/2010,Australia/2011,Australia/2012,Australia/2013,Australia/2014,Australia/2015,Australia/2016,Europe/2006,Europe/2007,Europe/2008,Europe/2009,Europe/2010,Europe/2011,Europe/2012,Europe/2013,Europe/2014,Europe/2015,Europe/2016,Middle East/2006,Middle East/2007,Middle East/2008,Middle East/2009,Middle East/2010,Middle East/2011,Middle East/2012,Middle East/2013,Middle East/2014,Middle East/2015,Middle East/2016,North America/2006,North America/2007,North America/2008,North America/2009,North America/2010,North America/2011,North America/2012,North America/2013,North America/2014,North America/2015,North America/2016,South America/2006,South America/2007,South America/2008,South America/2009,South America/2010,South America/2011,South America/2012,South America/2013,South America/2014,South America/2015,South America/2016
272,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9698.0,2032.0,1532.0,103884.0,4080.0,2808.0,?,?,?,?,?,?,?,?,?,?,2552.0,581602.0,1022.0,1022.0,4348.0,4348.0,20204.0,1270.0,19430.0,32766.0,106482.0,4092,?,?,?,?,?,?,?,?,?,?,?,0.0,2827052.0,1309658.0,25332.0,762.0,1270.0,20322.0,26078.0,418996.0,254.0,10484.0,?,?,?,?,?,?,?,?,?,4090.0,0.0
273,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,34802.0,22484.0,550548.0,1159388.0,77814.0,?,?,?,?,?,?,?,?,?,?,2298.0,0.0,139956.0,773738.0,1786.0,4848.0,4600.0,12282.0,508.0,1016.0,254.0,5878,?,?,?,?,?,?,?,?,?,?,?,1524.0,43506.0,43252.0,508.0,65534.0,81916.0,5112.0,3570.0,1848956.0,171606.0,3704678.0,?,?,?,?,?,?,?,?,?,8648.0,3068.0
274,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,94452.0,57260.0,4318.0,61422.0,0.0,8158.0,?,?,?,?,?,?,?,?,?,?,1378776.0,9212.0,254.0,254.0,9712.0,9966.0,14322.0,4094.0,147444.0,35564.0,595874.0,35066,?,?,?,?,?,?,?,?,?,?,?,2612026.0,0.0,1530.0,76530.0,47348.0,97242.0,114680.0,53487180.0,3031120.0,9194.0,4856.0,?,?,?,?,?,?,?,?,?,5116.0,6096.0
275,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5350.0,67568.0,18072.0,16102.0,5110.0,1270.0,?,?,?,?,?,?,?,?,?,?,30634.0,127954.0,105442.0,93916.0,40952.0,41206.0,8190.0,97000.0,4088.0,14322.0,663536.0,21750,?,?,?,?,?,?,?,?,?,?,?,27124.0,13560.0,13560.0,43254.0,381668.0,115698.0,7368.0,62388.0,47337802.0,254.0,40936.0,?,?,?,?,?,?,?,?,?,131068.0,4094.0
276,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,884720.0,0.0,223960.0,8190.0,1016.0,20470.0,?,?,?,?,?,?,?,?,?,?,456704.0,254.0,34764.0,55476.0,19948.0,23016.0,4348.0,836990.0,7563902.0,82926.0,540666.0,111582,?,?,?,?,?,?,?,?,?,?,?,0.0,73886.0,77190.0,266476.0,24038.0,438750.0,762.0,10430.0,55508.0,7652.0,31720.0,?,?,?,?,?,?,?,?,?,49148.0,3826.0
277,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3322.0,0.0,65534.0,292802.0,25400.0,17396.0,?,?,?,?,?,?,?,?,?,?,219710.0,82678.0,19696.0,19950.0,67804.0,116456.0,254.0,2556.0,20962.0,98300.0,8414360.0,66550,?,?,?,?,?,?,?,?,?,?,?,15606.0,0.0,0.0,12788.0,3068.0,1394542.0,12282.0,66286.0,8436.0,277134.0,19255450.0,?,?,?,?,?,?,?,?,?,4094.0,5114.0
278,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,2060666.0,121310.0,214994.0,2554.0,12284.0,?,?,?,?,?,?,?,?,?,?,21238.0,0.0,764.0,0.0,87598.0,162758.0,40670.0,1547564.0,510.0,25588.0,5080.0,37106,?,?,?,?,?,?,?,?,?,?,?,122784.0,42724.0,47074.0,1022.0,16378.0,254.0,41458.0,278248.0,1857130.0,18656.0,1180880.0,?,?,?,?,?,?,?,?,?,12280.0,1022.0
279,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,155070.0,51116.0,61422.0,5368.0,3562.0,27110.0,?,?,?,?,?,?,?,?,?,?,762.0,31956.0,622580.0,622580.0,254.0,254.0,254.0,387060.0,8190.0,10490.0,7918.0,20976,?,?,?,?,?,?,?,?,?,?,?,0.0,13754.0,11722.0,5618.0,14264.0,112608.0,3702313.0,762.0,489698.0,4828.0,1490376.0,?,?,?,?,?,?,?,?,?,13304.0,7392.0
280,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,27622.0,165602.0,7402.0,410044.0,139106.0,19668.0,?,?,?,?,?,?,?,?,?,?,2263148.0,21738.0,34804.0,41702.0,36854.0,36854.0,8444.0,26090.0,521600.0,2808.0,32762.0,10222,?,?,?,?,?,?,?,?,?,?,?,41438.0,76772.0,79058.0,11972.0,23016.0,764.0,28916.0,84718.0,68600.0,30682.0,7158.0,?,?,?,?,?,?,?,?,?,510.0,0.0
281,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12010.0,5872.0,8190.0,108008.0,10232.0,131324.0,?,?,?,?,?,?,?,?,?,?,?,764.0,4094.0,4094.0,6140.0,8186.0,77548.0,43244.0,1216484.0,2542.0,1212966.0,508,?,?,?,?,?,?,?,?,?,?,?,13816.0,0.0,1276.0,19948.0,22764.0,4092.0,27618.0,90102.0,9532540.0,2044.0,2499738.0,?,?,?,?,?,?,?,?,?,7162.0,1022.0
