64665;5.2666405691e-05;BNIX
64841;3.87544672e-07;FR-IX
64679;5.31401071514e-08;JPNAP Tokyo 2
64842;0.0;Equinix Osaka
64843;2.11661704685e-06;PTT-DF
64691;1.63930594045e-07;NIX2
64700;0.0;NWIX Helena
64844;0.0;OCIX Frankfurt
64845;1.10066442925e-05;TIX - Tanzania
64846;3.95091484834e-08;ULN-IX
64607;1.35203821905e-05;SPB-IX
64712;0.000259735645156;Telx Atlanta
64847;4.52578595355e-08;Lillix
64848;4.35560973688e-07;PTT-NAT
64849;2.02316571429e-06;CoreSite - Any2 NorthEast
64717;2.01162388621e-05;MadIX
64625;8.84210884045e-06;PIPE Networks Adelaide
64850;1.03499797563e-08;NAPAfrica IX Durban
64734;0.0;TampaIX
64851;0.00036997595626;Equinix Palo Alto
64732;1.09017149946e-06;SIX SI
64512;0.0;SFIX
64516;7.15777949089e-05;ESPANIX
64852;7.0030652429e-08;SMR-IX
64853;5.37598379859e-05;TPAIX
64524;1.84354341061e-05;BiX
64854;5.65224930048e-08;CoreSite - Any2 Boston
64577;9.72263437693e-08;YRIX
64855;3.97582961203e-05;NAPAfrica IX Johannesburg
64531;1.78943790544e-06;RIX
64532;0.0003052684006;KleyReX
64533;1.17049543438e-05;NIXI Mumbai
64856;7.42791077105e-05;Fixo
64857;1.8883473366e-09;AAIX
64858;5.92059135844e-10;T-IX
64859;8.06774910901e-05;UAE-IX
64540;0.0;NWIX Missoula
64860;6.04831124342e-07;PIRIX
64861;0.0;ARIU
64862;1.2177236555e-07;DN-IX
64663;0.000746538599482;NL-IX
64863;1.35060096565e-09;COIX
64544;0.0;SISPA
64864;0.0;MOZIX
64865;1.08365647921e-07;GTIIX
64866;1.32253421648e-07;IX Leeds
64867;9.57540852575e-07;CyrusOne IX Dallas
64552;2.01077692955e-08;UK6X
64868;1.42603190654e-06;KIX
64555;1.68972765938e-06;PacificWave
64869;2.22804582805e-06;PTT-SC
64870;4.26739488712e-05;HIX Haiti
64561;1.67896833263e-05;NIX
64871;0.0;BR-IX
64602;1.39509224063e-09;OIX
64872;2.12357624415e-05;TPIX
64873;3.91061034709e-08;CyrusOne IX Houston
64874;0.000157257529403;OpenIXP / NiCE
64660;3.29178423333e-05;RoNIX
64875;3.89949383184e-06;IXManchester
64573;5.55519144123e-05;PARIX
64876;3.73825812717e-09;MiamiIX
64575;9.54517939851e-07;CoreSite - Any2 Miami
